match_id,player,row,pts,pts_won,aces,unret,forced_err,pts_won_lte_3_shots,wide,body,t
20241119-M-Davis_Cup_Finals-QF-Tallon_Griekspoor-Carlos_Alcaraz,Tallon Griekspoor,Total,64,39,10,2,11,32,30,8,26
20241119-M-Davis_Cup_Finals-QF-Tallon_Griekspoor-Carlos_Alcaraz,Tallon Griekspoor,1,41,30,10,2,10,25,21,4,16
20241119-M-Davis_Cup_Finals-QF-Tallon_Griekspoor-Carlos_Alcaraz,Tallon Griekspoor,2,23,9,0,0,1,7,9,4,10
20241119-M-Davis_Cup_Finals-QF-Tallon_Griekspoor-Carlos_Alcaraz,Carlos Alcaraz,Total,51,44,11,0,9,29,23,17,11
20241119-M-Davis_Cup_Finals-QF-Tallon_Griekspoor-Carlos_Alcaraz,Carlos Alcaraz,1,29,28,9,0,9,20,11,7,11
20241119-M-Davis_Cup_Finals-QF-Tallon_Griekspoor-Carlos_Alcaraz,Carlos Alcaraz,2,22,16,2,0,0,9,12,10,0
20241111-M-Tour_Finals-RR-Casper_Ruud-Carlos_Alcaraz,Casper Ruud,Total,74,48,5,2,12,28,37,5,32
20241111-M-Tour_Finals-RR-Casper_Ruud-Carlos_Alcaraz,Casper Ruud,1,51,35,5,2,11,22,25,1,25
20241111-M-Tour_Finals-RR-Casper_Ruud-Carlos_Alcaraz,Casper Ruud,2,23,13,0,0,1,6,12,4,7
20241111-M-Tour_Finals-RR-Casper_Ruud-Carlos_Alcaraz,Carlos Alcaraz,Total,44,25,4,3,4,18,20,9,15
20241111-M-Tour_Finals-RR-Casper_Ruud-Carlos_Alcaraz,Carlos Alcaraz,1,29,17,4,3,3,13,14,5,10
20241111-M-Tour_Finals-RR-Casper_Ruud-Carlos_Alcaraz,Carlos Alcaraz,2,15,8,0,0,1,5,6,4,5
20241029-M-Paris_Masters-R32-Carlos_Alcaraz-Nicolas_Jarry,Carlos Alcaraz,Total,60,41,9,18,0,30,27,4,29
20241029-M-Paris_Masters-R32-Carlos_Alcaraz-Nicolas_Jarry,Carlos Alcaraz,1,42,32,9,16,0,27,22,1,19
20241029-M-Paris_Masters-R32-Carlos_Alcaraz-Nicolas_Jarry,Carlos Alcaraz,2,18,9,0,2,0,3,5,3,10
20241029-M-Paris_Masters-R32-Carlos_Alcaraz-Nicolas_Jarry,Nicolas Jarry,Total,58,32,6,11,0,21,24,9,25
20241029-M-Paris_Masters-R32-Carlos_Alcaraz-Nicolas_Jarry,Nicolas Jarry,1,34,22,6,8,0,17,12,4,18
20241029-M-Paris_Masters-R32-Carlos_Alcaraz-Nicolas_Jarry,Nicolas Jarry,2,24,10,0,3,0,4,12,5,7
20241020-M-Six_Kings_Slam-F-Jannik_Sinner-Carlos_Alcaraz,Jannik Sinner,Total,84,59,6,0,16,31,45,11,28
20241020-M-Six_Kings_Slam-F-Jannik_Sinner-Carlos_Alcaraz,Jannik Sinner,1,56,43,6,0,15,27,34,1,21
20241020-M-Six_Kings_Slam-F-Jannik_Sinner-Carlos_Alcaraz,Jannik Sinner,2,28,16,0,0,1,4,11,10,7
20241020-M-Six_Kings_Slam-F-Jannik_Sinner-Carlos_Alcaraz,Carlos Alcaraz,Total,105,61,2,0,14,26,48,34,23
20241020-M-Six_Kings_Slam-F-Jannik_Sinner-Carlos_Alcaraz,Carlos Alcaraz,1,66,42,2,0,14,22,35,16,15
20241020-M-Six_Kings_Slam-F-Jannik_Sinner-Carlos_Alcaraz,Carlos Alcaraz,2,39,19,0,0,0,4,13,18,8
20241010-M-Shanghai_Masters-QF-Tomas_Machac-Carlos_Alcaraz,Tomas Machac,Total,93,60,5,14,0,31,34,9,50
20241010-M-Shanghai_Masters-QF-Tomas_Machac-Carlos_Alcaraz,Tomas Machac,1,55,40,4,12,0,25,23,2,30
20241010-M-Shanghai_Masters-QF-Tomas_Machac-Carlos_Alcaraz,Tomas Machac,2,38,20,1,2,0,6,11,7,20
20241010-M-Shanghai_Masters-QF-Tomas_Machac-Carlos_Alcaraz,Carlos Alcaraz,Total,67,46,7,13,0,33,29,3,35
20241010-M-Shanghai_Masters-QF-Tomas_Machac-Carlos_Alcaraz,Carlos Alcaraz,1,46,34,6,11,0,25,19,2,25
20241010-M-Shanghai_Masters-QF-Tomas_Machac-Carlos_Alcaraz,Carlos Alcaraz,2,21,12,1,2,0,8,10,1,10
20241009-M-Shanghai_Masters-R16-Gael_Monfils-Carlos_Alcaraz,Gael Monfils,Total,70,46,10,12,0,30,40,6,24
20241009-M-Shanghai_Masters-R16-Gael_Monfils-Carlos_Alcaraz,Gael Monfils,1,49,36,10,9,0,25,25,2,22
20241009-M-Shanghai_Masters-R16-Gael_Monfils-Carlos_Alcaraz,Gael Monfils,2,21,10,0,3,0,5,15,4,2
20241009-M-Shanghai_Masters-R16-Gael_Monfils-Carlos_Alcaraz,Carlos Alcaraz,Total,59,46,4,14,0,23,28,3,28
20241009-M-Shanghai_Masters-R16-Gael_Monfils-Carlos_Alcaraz,Carlos Alcaraz,1,41,32,4,12,0,20,20,1,20
20241009-M-Shanghai_Masters-R16-Gael_Monfils-Carlos_Alcaraz,Carlos Alcaraz,2,18,14,0,2,0,3,8,2,8
20241005-M-Shanghai_Masters-R64-Juncheng_Shang-Carlos_Alcaraz,Juncheng Shang,Total,51,24,1,7,0,15,20,11,20
20241005-M-Shanghai_Masters-R64-Juncheng_Shang-Carlos_Alcaraz,Juncheng Shang,1,27,15,1,6,0,10,11,3,13
20241005-M-Shanghai_Masters-R64-Juncheng_Shang-Carlos_Alcaraz,Juncheng Shang,2,24,9,0,1,0,5,9,8,7
20241005-M-Shanghai_Masters-R64-Juncheng_Shang-Carlos_Alcaraz,Carlos Alcaraz,Total,48,35,3,10,0,18,20,9,19
20241005-M-Shanghai_Masters-R64-Juncheng_Shang-Carlos_Alcaraz,Carlos Alcaraz,1,24,19,3,8,0,14,9,4,11
20241005-M-Shanghai_Masters-R64-Juncheng_Shang-Carlos_Alcaraz,Carlos Alcaraz,2,24,16,0,2,0,4,11,5,8
20241002-M-Beijing-F-Carlos_Alcaraz-Jannik_Sinner,Carlos Alcaraz,Total,123,81,7,17,0,43,68,14,41
20241002-M-Beijing-F-Carlos_Alcaraz-Jannik_Sinner,Carlos Alcaraz,1,75,54,7,16,0,39,47,8,20
20241002-M-Beijing-F-Carlos_Alcaraz-Jannik_Sinner,Carlos Alcaraz,2,48,27,0,1,0,4,21,6,21
20241002-M-Beijing-F-Carlos_Alcaraz-Jannik_Sinner,Jannik Sinner,Total,129,78,6,16,0,34,56,22,51
20241002-M-Beijing-F-Carlos_Alcaraz-Jannik_Sinner,Jannik Sinner,1,71,47,6,12,0,25,36,2,33
20241002-M-Beijing-F-Carlos_Alcaraz-Jannik_Sinner,Jannik Sinner,2,58,31,0,4,0,9,20,20,18
20241001-M-Beijing-SF-Daniil_Medvedev-Carlos_Alcaraz,Daniil Medvedev,Total,66,35,3,13,0,22,35,3,28
20241001-M-Beijing-SF-Daniil_Medvedev-Carlos_Alcaraz,Daniil Medvedev,1,42,23,2,10,0,16,22,1,19
20241001-M-Beijing-SF-Daniil_Medvedev-Carlos_Alcaraz,Daniil Medvedev,2,24,12,1,3,0,6,13,2,9
20241001-M-Beijing-SF-Daniil_Medvedev-Carlos_Alcaraz,Carlos Alcaraz,Total,53,36,3,10,0,20,25,6,22
20241001-M-Beijing-SF-Daniil_Medvedev-Carlos_Alcaraz,Carlos Alcaraz,1,36,27,3,9,0,19,16,2,18
20241001-M-Beijing-SF-Daniil_Medvedev-Carlos_Alcaraz,Carlos Alcaraz,2,17,9,0,1,0,1,9,4,4
20240930-M-Beijing-QF-Karen_Khachanov-Carlos_Alcaraz,Karen Khachanov,Total,82,45,4,14,0,24,40,5,37
20240930-M-Beijing-QF-Karen_Khachanov-Carlos_Alcaraz,Karen Khachanov,1,53,34,4,10,0,19,26,1,26
20240930-M-Beijing-QF-Karen_Khachanov-Carlos_Alcaraz,Karen Khachanov,2,29,11,0,4,0,5,14,4,11
20240930-M-Beijing-QF-Karen_Khachanov-Carlos_Alcaraz,Carlos Alcaraz,Total,52,38,2,11,0,18,32,4,16
20240930-M-Beijing-QF-Karen_Khachanov-Carlos_Alcaraz,Carlos Alcaraz,1,33,25,2,11,0,15,21,2,10
20240930-M-Beijing-QF-Karen_Khachanov-Carlos_Alcaraz,Carlos Alcaraz,2,19,13,0,0,0,3,11,2,6
20240929-M-Beijing-R16-Carlos_Alcaraz-Tallon_Griekspoor,Carlos Alcaraz,Total,41,32,4,11,0,22,15,5,21
20240929-M-Beijing-R16-Carlos_Alcaraz-Tallon_Griekspoor,Carlos Alcaraz,1,23,23,3,7,0,16,7,3,13
