match_id,player,row,deuce_wide,deuce_middle,deuce_t,ad_wide,ad_middle,ad_t,err_net,err_wide,err_deep,err_wide_deep,err_foot,err_unknown
20241119-M-Davis_Cup_Finals-QF-Tallon_Griekspoor-Carlos_Alcaraz,Tallon Griekspoor,Total,15,5,14,15,3,12,14,8,2,0,0,0
20241119-M-Davis_Cup_Finals-QF-Tallon_Griekspoor-Carlos_Alcaraz,Tallon Griekspoor,1,10,2,8,11,2,8,0,0,0,0,0,0
20241119-M-Davis_Cup_Finals-QF-Tallon_Griekspoor-Carlos_Alcaraz,Tallon Griekspoor,2,5,3,6,4,1,4,14,8,2,0,0,0
20241119-M-Davis_Cup_Finals-QF-Tallon_Griekspoor-Carlos_Alcaraz,Carlos Alcaraz,Total,10,10,7,13,7,4,15,3,5,0,0,0
20241119-M-Davis_Cup_Finals-QF-Tallon_Griekspoor-Carlos_Alcaraz,Carlos Alcaraz,1,8,6,7,3,1,4,0,0,0,0,0,0
20241119-M-Davis_Cup_Finals-QF-Tallon_Griekspoor-Carlos_Alcaraz,Carlos Alcaraz,2,2,4,0,10,6,0,15,3,5,0,0,0
20241111-M-Tour_Finals-RR-Casper_Ruud-Carlos_Alcaraz,Casper Ruud,Total,16,3,18,21,2,14,10,2,8,3,0,0
20241111-M-Tour_Finals-RR-Casper_Ruud-Carlos_Alcaraz,Casper Ruud,1,14,0,13,11,1,12,0,0,0,0,0,0
20241111-M-Tour_Finals-RR-Casper_Ruud-Carlos_Alcaraz,Casper Ruud,2,2,3,5,10,1,2,10,2,8,3,0,0
20241111-M-Tour_Finals-RR-Casper_Ruud-Carlos_Alcaraz,Carlos Alcaraz,Total,11,5,9,9,4,6,8,3,5,1,0,0
20241111-M-Tour_Finals-RR-Casper_Ruud-Carlos_Alcaraz,Carlos Alcaraz,1,9,2,4,5,3,6,0,0,0,0,0,0
20241111-M-Tour_Finals-RR-Casper_Ruud-Carlos_Alcaraz,Carlos Alcaraz,2,2,3,5,4,1,0,8,3,5,1,0,0
20241029-M-Paris_Masters-R32-Carlos_Alcaraz-Nicolas_Jarry,Carlos Alcaraz,Total,13,3,16,14,1,13,10,6,2,0,0,0
20241029-M-Paris_Masters-R32-Carlos_Alcaraz-Nicolas_Jarry,Carlos Alcaraz,1,13,1,10,9,0,9,0,0,0,0,0,0
20241029-M-Paris_Masters-R32-Carlos_Alcaraz-Nicolas_Jarry,Carlos Alcaraz,2,0,2,6,5,1,4,10,6,2,0,0,0
20241029-M-Paris_Masters-R32-Carlos_Alcaraz-Nicolas_Jarry,Nicolas Jarry,Total,10,4,15,14,5,10,11,6,8,0,0,0
20241029-M-Paris_Masters-R32-Carlos_Alcaraz-Nicolas_Jarry,Nicolas Jarry,1,5,2,12,7,2,6,0,0,0,0,0,0
20241029-M-Paris_Masters-R32-Carlos_Alcaraz-Nicolas_Jarry,Nicolas Jarry,2,5,2,3,7,3,4,11,6,8,0,0,0
20241020-M-Six_Kings_Slam-F-Jannik_Sinner-Carlos_Alcaraz,Jannik Sinner,Total,16,8,21,29,3,7,16,6,7,0,0,0
20241020-M-Six_Kings_Slam-F-Jannik_Sinner-Carlos_Alcaraz,Jannik Sinner,1,12,1,14,22,0,7,0,0,0,0,0,0
20241020-M-Six_Kings_Slam-F-Jannik_Sinner-Carlos_Alcaraz,Jannik Sinner,2,4,7,7,7,3,0,16,6,7,0,0,0
20241020-M-Six_Kings_Slam-F-Jannik_Sinner-Carlos_Alcaraz,Carlos Alcaraz,Total,22,19,14,26,15,9,23,7,10,1,0,0
20241020-M-Six_Kings_Slam-F-Jannik_Sinner-Carlos_Alcaraz,Carlos Alcaraz,1,20,7,9,15,9,6,0,0,0,0,0,0
20241020-M-Six_Kings_Slam-F-Jannik_Sinner-Carlos_Alcaraz,Carlos Alcaraz,2,2,12,5,11,6,3,23,7,10,1,0,0
20241010-M-Shanghai_Masters-QF-Tomas_Machac-Carlos_Alcaraz,Tomas Machac,Total,14,3,31,20,6,19,17,6,17,0,0,0
20241010-M-Shanghai_Masters-QF-Tomas_Machac-Carlos_Alcaraz,Tomas Machac,1,10,0,17,13,2,13,0,0,0,0,0,0
20241010-M-Shanghai_Masters-QF-Tomas_Machac-Carlos_Alcaraz,Tomas Machac,2,4,3,14,7,4,6,17,6,17,0,0,0
20241010-M-Shanghai_Masters-QF-Tomas_Machac-Carlos_Alcaraz,Carlos Alcaraz,Total,13,2,21,16,1,14,9,5,8,0,0,0
20241010-M-Shanghai_Masters-QF-Tomas_Machac-Carlos_Alcaraz,Carlos Alcaraz,1,10,2,16,9,0,9,0,0,0,0,0,0
20241010-M-Shanghai_Masters-QF-Tomas_Machac-Carlos_Alcaraz,Carlos Alcaraz,2,3,0,5,7,1,5,9,5,8,0,0,0
20241009-M-Shanghai_Masters-R16-Gael_Monfils-Carlos_Alcaraz,Gael Monfils,Total,23,4,10,17,2,14,7,2,13,0,0,0
20241009-M-Shanghai_Masters-R16-Gael_Monfils-Carlos_Alcaraz,Gael Monfils,1,14,1,10,11,1,12,0,0,0,0,0,0
