match_id,player,row,pts,won_1+,won_2+,won_3+,won_4+,won_5+,won_6+,won_7+,won_8+,won_9+,won_10+
20241119-M-Davis_Cup_Finals-QF-Tallon_Griekspoor-Carlos_Alcaraz,Tallon Griekspoor,1,41,73.2%,42.1%,44.4%,23.1%,30.0%,0.0%,0.0%,0.0%,0.0%,0.0%
20241119-M-Davis_Cup_Finals-QF-Tallon_Griekspoor-Carlos_Alcaraz,Tallon Griekspoor,2,22,40.9%,18.8%,23.1%,9.1%,16.7%,16.7%,25.0%,0.0%,0.0%,0.0%
20241119-M-Davis_Cup_Finals-QF-Tallon_Griekspoor-Carlos_Alcaraz,Carlos Alcaraz,1,29,96.6%,90.9%,100.0%,100.0%,100.0%,-,-,-,-,-
20241119-M-Davis_Cup_Finals-QF-Tallon_Griekspoor-Carlos_Alcaraz,Carlos Alcaraz,2,21,76.2%,61.5%,72.7%,62.5%,83.3%,66.7%,100.0%,100.0%,100.0%,-
20241111-M-Tour_Finals-RR-Casper_Ruud-Carlos_Alcaraz,Casper Ruud,1,51,68.6%,51.5%,65.4%,47.1%,57.1%,40.0%,66.7%,33.3%,33.3%,33.3%
20241111-M-Tour_Finals-RR-Casper_Ruud-Carlos_Alcaraz,Casper Ruud,2,23,56.5%,41.2%,43.8%,40.0%,46.2%,30.0%,50.0%,40.0%,40.0%,40.0%
20241111-M-Tour_Finals-RR-Casper_Ruud-Carlos_Alcaraz,Carlos Alcaraz,1,29,58.6%,36.8%,50.0%,36.4%,57.1%,0.0%,0.0%,0.0%,0.0%,0.0%
20241111-M-Tour_Finals-RR-Casper_Ruud-Carlos_Alcaraz,Carlos Alcaraz,2,13,61.5%,37.5%,42.9%,42.9%,60.0%,60.0%,75.0%,50.0%,100.0%,100.0%
20241029-M-Paris_Masters-R32-Carlos_Alcaraz-Nicolas_Jarry,Carlos Alcaraz,1,42,76.2%,41.2%,58.3%,37.5%,60.0%,0.0%,0.0%,0.0%,0.0%,0.0%
20241029-M-Paris_Masters-R32-Carlos_Alcaraz-Nicolas_Jarry,Carlos Alcaraz,2,18,50.0%,40.0%,42.9%,0.0%,0.0%,0.0%,0.0%,0.0%,-,-
20241029-M-Paris_Masters-R32-Carlos_Alcaraz-Nicolas_Jarry,Nicolas Jarry,1,34,64.7%,40.0%,57.1%,25.0%,50.0%,33.3%,50.0%,50.0%,50.0%,0.0%
20241029-M-Paris_Masters-R32-Carlos_Alcaraz-Nicolas_Jarry,Nicolas Jarry,2,23,43.5%,31.6%,54.5%,37.5%,60.0%,33.3%,100.0%,-,-,-
20241020-M-Six_Kings_Slam-F-Jannik_Sinner-Carlos_Alcaraz,Jannik Sinner,1,56,76.8%,62.9%,71.0%,50.0%,64.3%,50.0%,55.6%,20.0%,100.0%,100.0%
20241020-M-Six_Kings_Slam-F-Jannik_Sinner-Carlos_Alcaraz,Jannik Sinner,2,27,59.3%,52.2%,63.2%,56.3%,64.3%,44.4%,66.7%,33.3%,50.0%,50.0%
20241020-M-Six_Kings_Slam-F-Jannik_Sinner-Carlos_Alcaraz,Carlos Alcaraz,1,66,63.6%,52.0%,57.8%,36.7%,47.8%,29.4%,55.6%,20.0%,50.0%,50.0%
20241020-M-Six_Kings_Slam-F-Jannik_Sinner-Carlos_Alcaraz,Carlos Alcaraz,2,37,51.4%,50.0%,66.7%,55.0%,78.6%,70.0%,87.5%,75.0%,100.0%,100.0%
20241010-M-Shanghai_Masters-QF-Tomas_Machac-Carlos_Alcaraz,Tomas Machac,1,55,72.7%,61.5%,75.0%,50.0%,61.5%,37.5%,50.0%,0.0%,0.0%,0.0%
20241010-M-Shanghai_Masters-QF-Tomas_Machac-Carlos_Alcaraz,Tomas Machac,2,36,55.6%,50.0%,61.5%,52.4%,73.3%,63.6%,87.5%,80.0%,100.0%,100.0%
20241010-M-Shanghai_Masters-QF-Tomas_Machac-Carlos_Alcaraz,Carlos Alcaraz,1,46,73.9%,55.6%,71.4%,50.0%,60.0%,42.9%,60.0%,50.0%,100.0%,100.0%
20241010-M-Shanghai_Masters-QF-Tomas_Machac-Carlos_Alcaraz,Carlos Alcaraz,2,20,60.0%,46.7%,63.6%,50.0%,57.1%,25.0%,50.0%,50.0%,100.0%,-
20241009-M-Shanghai_Masters-R16-Gael_Monfils-Carlos_Alcaraz,Gael Monfils,1,49,73.5%,56.7%,63.0%,47.4%,69.2%,55.6%,62.5%,57.1%,80.0%,50.0%
20241009-M-Shanghai_Masters-R16-Gael_Monfils-Carlos_Alcaraz,Gael Monfils,2,20,50.0%,33.3%,45.5%,33.3%,50.0%,25.0%,50.0%,50.0%,100.0%,100.0%
20241009-M-Shanghai_Masters-R16-Gael_Monfils-Carlos_Alcaraz,Carlos Alcaraz,1,41,78.0%,64.0%,80.0%,60.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
20241009-M-Shanghai_Masters-R16-Gael_Monfils-Carlos_Alcaraz,Carlos Alcaraz,2,18,77.8%,75.0%,85.7%,83.3%,83.3%,71.4%,71.4%,60.0%,75.0%,50.0%
20241005-M-Shanghai_Masters-R64-Juncheng_Shang-Carlos_Alcaraz,Juncheng Shang,1,27,55.6%,40.0%,50.0%,20.0%,28.6%,0.0%,0.0%,0.0%,0.0%,0.0%
20241005-M-Shanghai_Masters-R64-Juncheng_Shang-Carlos_Alcaraz,Juncheng Shang,2,22,40.9%,23.5%,30.8%,25.0%,33.3%,25.0%,28.6%,16.7%,25.0%,25.0%
20241005-M-Shanghai_Masters-R64-Juncheng_Shang-Carlos_Alcaraz,Carlos Alcaraz,1,24,79.2%,61.5%,88.9%,83.3%,83.3%,0.0%,0.0%,0.0%,0.0%,0.0%
20241005-M-Shanghai_Masters-R64-Juncheng_Shang-Carlos_Alcaraz,Carlos Alcaraz,2,24,66.7%,61.9%,72.2%,61.5%,72.7%,62.5%,71.4%,60.0%,60.0%,60.0%
20241002-M-Beijing-F-Carlos_Alcaraz-Jannik_Sinner,Carlos Alcaraz,1,75,72.0%,59.6%,75.6%,50.0%,66.7%,0.0%,0.0%,0.0%,-,-
20241002-M-Beijing-F-Carlos_Alcaraz-Jannik_Sinner,Carlos Alcaraz,2,46,58.7%,55.8%,66.7%,58.6%,68.0%,57.9%,78.6%,66.7%,75.0%,66.7%
20241002-M-Beijing-F-Carlos_Alcaraz-Jannik_Sinner,Jannik Sinner,1,71,66.2%,54.7%,64.4%,40.7%,52.4%,28.6%,33.3%,0.0%,0.0%,0.0%
